,name,location,rating,num_rating,price
84,Signature Rosé 2019,"Uco Valley, Argentina",4.2,539 ratings,Available online from $20
85,Rubentis 2017,"Getariako Txakolina, Spain",4.2,463 ratings,Available online from $25
86,Clos Mireille Rosé (Coeur de Grain) 2019,"Côtes de Provence, France",4.2,463 ratings,Available online from $60.75
87,Cuvée des Commandeurs Côtes de Provence Rosé 2019,"Côtes de Provence, France",4.2,429 ratings,Available online from $17.95
88,Tibouren Tradition Rosé 2015,"Côtes de Provence, France",4.2,410 ratings,Available online from $38
89,Vale dos Pombos Vinho Verde Rosado 2020,"Vinho Verde, Portugal",4.2,391 ratings,Available online from $9.50
90,Winifred Rosé 2017,"Weinland, Austria",4.2,366 ratings,Available online from $39
91,Rock Angel Rosé 2020,"Côtes de Provence, France",4.2,325 ratings,29.69
92,Gris de Gris Corbières Rosé 2017,"Corbières, France",4.2,322 ratings,Available online from $15
93,Bandol Rosé 2014,"Bandol, France",4.2,317 ratings,Available online from $73
94,Rubentis 2020,"Getariako Txakolina, Spain",4.2,310 ratings,Available online from $25
95,Le Pas du Moine Sainte Victoire 2019,"Côtes de Provence, France",4.2,310 ratings,Available online from $31.80
96,Château Romassan Rosé (Coeur de Grain) 2020,"Bandol, France",4.2,307 ratings,49.95
97,Piemonte Lavignone Rosato 2017,"Piemonte, Italy",4.2,292 ratings,Available online from $15.99
98,Winifred Rosé 2020,"Weinland, Austria",4.2,282 ratings,Available online from $38
99,Première de Figuière Rosé 2020,"Côtes de Provence, France",4.2,241 ratings,29.99
100,Feints 2020,"Mendocino County, United States",4.2,234 ratings,Available online from $27.99
101,Rosa del Rosa Rosato 2020,"Coste della Sesia, Italy",4.2,220 ratings,Available online from $18.99
102,Finca Wolffer Rosé 2020,"Mendoza, Argentina",4.2,187 ratings,Available online from $14.99
103,Côtes de Provence Rosé 2020,"Côtes de Provence, France",4.2,184 ratings,Available online from $35
104,Whispering Angel Rosé 2021,"Côtes de Provence, France",4.2,159 ratings,19.99
105,Rosé of Pinot Noir 2019,"Sonoma Coast, United States",4.2,145 ratings,Available online from $32
106,Sancerre Rosé 2019,"Sancerre, France",4.2,143 ratings,24.95
107,Charmeur Côtes de Provence Rosé 2020,"Côtes de Provence, France",4.2,141 ratings,Available online from $15
108,Žan 2018,"Štajerska, Slovenia",4.2,138 ratings,Available online from $27.99
109,Bandol Rosé 2018,"Bandol, France",4.2,132 ratings,Available online from $35
110,Rosé de Loire 2018,"Rosé de Loire, France",4.2,130 ratings,Available online from $27
111,Praja Monica 2020,"Monica di Sardegna, Italy",4.2,129 ratings,Available online from $21
112,Chateau Peyrassol Côtes de Provence Rosé 2019,"Côtes de Provence, France",4.2,121 ratings,Available online from $79
113,Negroamaro Salento Calafuria Rosato 2021,"Salento, Italy",4.2,118 ratings,Available online from $12.98
114,Palette Rose 2018,"Palette, France",4.2,117 ratings,Available online from $59
115,Rosé de Loire 2019,"Rosé de Loire, France",4.2,110 ratings,Available online from $24.99
116,Rosé 2017,"Vaucluse, France",4.2,109 ratings,Available online from $40.50
117,Maskerade Rosé 2019,"Weinland, Austria",4.2,108 ratings,Available online from $37
118,Bandol Rosé 2018,"Bandol, France",4.2,106 ratings,Available online from $25.95
119,Rosé 2019,"Mendocino County, United States",4.2,93 ratings,Available online from $29.99
120,Les Rascasses Rosé 2019,"Santa Ynez Valley, United States",4.2,93 ratings,Available online from $25
121,Himmel Auf Erden Rosé 2020,"Neusiedlersee, Austria",4.2,92 ratings,Available online from $39.99
122,Cassis Rosé 2019,"Cassis, France",4.2,90 ratings,Available online from $27.95
123,Bandol Rosé 2020,"Bandol, France",4.2,69 ratings,21.95
124,Côtes de Provence 2020,"Côtes de Provence, France",4.2,66 ratings,29.99
125,Palette Rose 2019,"Palette, France",4.2,66 ratings,Available online from $60
126,Bigarò Rosé 2020,"Piemonte, Italy",4.2,65 ratings,23.99
127,Cerasuolo Montepulciano d'Abruzzo Rosé 2017,"Cerasuolo d'Abruzzo, Italy",4.2,62 ratings,Available online from $129.95
128,Rosé 2019,"Vipava, Slovenia",4.2,62 ratings,Available online from $28.99
129,Pinot Noir Rosé 2018,"Willamette Valley, United States",4.2,57 ratings,Available online from $17.40
130,Côtes de Provence Rosé 2020,"Côtes de Provence, France",4.2,56 ratings,Available online from $15.11
131,Bandol Rosé 2020,"Bandol, France",4.2,52 ratings,38.99
132,O.V.N.I Rosé 2020,"Loire Valley, France",4.2,48 ratings,Available online from $23
133,Le Rosé 2020,"Vin de France, France",4.2,47 ratings,Available online from $42
134,Rosé 2019,"Côtes de Provence, France",4.2,46 ratings,49.99
135,Le Cince Cerasuolo d'Abruzzo Superiore 2019,"Cerasuolo d'Abruzzo, Italy",4.2,44 ratings,Available online from $45
136,Grenache Gris Rosé 2020,"Santa Barbara County, United States",4.2,43 ratings,Available online from $18.85
137,White Zinfandel 2020,"Sonoma County, United States",4.2,40 ratings,21.95
138,Les Rascasses Rosé 2017,"Santa Ynez Valley, United States",4.2,39 ratings,Available online from $24
139,Club 44 Rosé 2018,"Coteaux d'Aix-en-Provence, France",4.2,36 ratings,Available online from $14.99
140,Cuvée Speciale des Vignettes Rosé 2019,"Provence, France",4.2,34 ratings,Available online from $39.99
141,Le Champ des Grillons Rosé 2020,"Côtes de Thongue, France",4.2,33 ratings,Available online from $14.99
142,En Barmont Rosé des Riceys 2015,"Rosé des Riceys, France",4.2,32 ratings,Available online from $178
143,Cabernet Franc Rosato 2019,"Long Island, United States",4.2,30 ratings,Available online from $60
144,Cassis Rosé 2020,"Cassis, France",4.2,29 ratings,Available online from $29.99
145,Bigarò Rosé 2019,"Piemonte, Italy",4.2,28 ratings,Available online from $18.99
146,Old Vine Rosé 2019,"California, United States",4.2,27 ratings,Available online from $17.99
147,Whispering Angel Rosé 2019,"Côtes de Provence, France",4.1,9810 ratings,Available online from $22.99
148,Whispering Angel Rosé 2017,"Côtes de Provence, France",4.1,8015 ratings,Available online from $19.99
149,Whispering Angel Rosé 2018,"Côtes de Provence, France",4.1,7820 ratings,Available online from $24.98
150,Pink Moscato N.V.,"South Eastern Australia, Australia",4.1,4145 ratings,Available online from $4.98
151,Rosé 2020,"Coteaux d'Aix-en-Provence, France",4.1,2430 ratings,18.99
152,Susucaru Rosato 2019,"Terre Siciliane, Italy",4.1,1839 ratings,Available online from $59
153,Fleur de Mer Rosé 2019,"Côtes de Provence, France",4.1,1611 ratings,Available online from $15.09
154,By.Ott Rosé 2020,"Côtes de Provence, France",4.1,1361 ratings,17.07
155,Prestige Rosé 2020,"Côtes de Provence, France",4.1,1322 ratings,23.49
156,Negroamaro Salento Calafuria Rosato 2020,"Salento, Italy",4.1,1302 ratings,15.99
157,Rosé 2020,"Languedoc-Roussillon, France",4.1,1233 ratings,8.99
158,Alìe Rosé Toscana 2018,"Toscana, Italy",4.1,1200 ratings,Available online from $59.40
159,Romance Rosé 2020,"Méditerranée, France",4.1,1034 ratings,16.99
160,Argali Rosé 2019,"Languedoc-Roussillon, France",4.1,978 ratings,Available online from $22
161,Alìe Rosé Toscana 2020,"Toscana, Italy",4.1,902 ratings,23.99
162,Rose 2019,"Méditerranée, France",4.1,857 ratings,21.99
163,Susucaru Rosato 2020,"Terre Siciliane, Italy",4.1,839 ratings,Available online from $36
164,Pure Provence Rosé 2019,"Côtes de Provence, France",4.1,819 ratings,Available online from $17.40
165,Argali Rosé 2020,"Languedoc-Roussillon, France",4.1,802 ratings,Available online from $19.99
166,Rubentis 2018,"Getariako Txakolina, Spain",4.1,648 ratings,Available online from $16.99
167,Summer In A Bottle Rosé 2019,"Long Island, United States",4.1,582 ratings,Available online from $21.99
168,Rock Angel Rosé 2017,"Côtes de Provence, France",4.1,544 ratings,94.99
169,Réserve des Templiers Côtes de Provence 2019,"Côtes de Provence, France",4.1,530 ratings,Available online from $14.95
170,Rose 2020,"Méditerranée, France",4.1,507 ratings,21.35
171,Tibouren Tradition Rosé 2017,"Côtes de Provence, France",4.1,492 ratings,Available online from $31
172,Le Pas du Moine Sainte Victoire 2017,"Côtes de Provence, France",4.1,491 ratings,Available online from $29.98
173,Rosé 2019,"Russian River Valley, United States",4.1,477 ratings,Available online from $16.99
174,Summer In A Bottle Rosé 2020,"Long Island, United States",4.1,472 ratings,Available online from $19.98
175,Pure Provence Rosé 2020,"Côtes de Provence, France",4.1,446 ratings,22.99
176,Grenache Rosé 2020,"Vin de France, France",4.1,445 ratings,Available online from $12.98
177,Oeil de Perdrix Pinot Noir Blanc Rosé 2018,"Yorkville Highlands, United States",4.1,435 ratings,Available online from $12.99
178,Vetere Paestum Rosato 2019,"Paestum, Italy",4.1,432 ratings,Available online from $22.99
179,Gris de Gris Corbières Rosé 2019,"Corbières, France",4.1,430 ratings,Available online from $11.89
180,Tibouren Tradition Rosé 2018,"Côtes de Provence, France",4.1,416 ratings,Available online from $27.99
181,Vetere Paestum Rosato 2020,"Paestum, Italy",4.1,407 ratings,26.99
182,Côtes de Provence Rosé 2017,"Côtes de Provence, France",4.1,399 ratings,Available online from $17.33
183,Oeil de Perdrix Pinot Noir Blanc Rosé 2019,"Yorkville Highlands, United States",4.1,393 ratings,Available online from $45
184,Gris de Gris Corbières Rosé 2018,"Corbières, France",4.1,386 ratings,Available online from $14.98
185,Pomponette Coteaux d'Aix-en-Provence Rosé 2020,"Coteaux d'Aix-en-Provence, France",4.1,386 ratings,Available online from $16.09
186,Rock Angel Rosé 2016,"Côtes de Provence, France",4.1,377 ratings,Available online from $36.98
187,Côtes de Provence Rosé 2018,"Côtes de Provence, France",4.1,373 ratings,Available online from $14.99
188,Côtes de Provence Rosé 2017,"Côtes de Provence, France",4.1,369 ratings,Available online from $16.99
189,Flor de Muga Rosado 2018,"Rioja, Spain",4.1,368 ratings,Available online from $33.99
190,Rosé de Xinomavro 2018,"Naoussa, Greece",4.1,347 ratings,Available online from $23.80
191,La Chapelle Gordonne Tête de Cuvée Côtes de Provence Rosé 2018,"Côtes de Provence, France",4.1,339 ratings,Available online from $29.99
192,Rosé 2019,"Willamette Valley, United States",4.1,333 ratings,Available online from $14.99
193,Côtes de Provence Rosé 2018,"Côtes de Provence, France",4.1,317 ratings,Available online from $16.99
194,Fleur de Mer Rosé 2020,"Côtes de Provence, France",4.1,310 ratings,18.99
195,Le Rosé 2020,"Côtes du Roussillon, France",4.1,299 ratings,Available online from $12.95
196,Etoile Provence Rosé 2020,"Côtes de Provence, France",4.1,287 ratings,25.99
197,Château de Berne Rosé 2017,"Côtes de Provence, France",4.1,285 ratings,Available online from $53.99
198,Praja Monica 2018,"Monica di Sardegna, Italy",4.1,258 ratings,Available online from $21
199,Piemonte Lavignone Rosato 2018,"Piemonte, Italy",4.1,252 ratings,Available online from $36.99
200,Bandol Rosé 2013,"Bandol, France",4.1,231 ratings,Available online from $73
201,Rosado 2020,"Bierzo, Spain",4.1,225 ratings,13.99
202,Dolce & Gabbana Rosa 2020,"Sicilia, Italy",4.1,219 ratings,Available online from $45
203,Moscato Peach N.V.,"Emilia-Romagna, Italy",4.1,216 ratings,Available online from $7.99
204,Côtes de Provence Sainte Victoire 2020,"Côtes de Provence, France",4.1,196 ratings,Available online from $14.99
205,RosesRoses 2018,"Veneto, Italy",4.1,190 ratings,Available online from $15.99
206,Côtes de Provence Rosé 2018,"Côtes de Provence, France",4.1,189 ratings,Available online from $25
207,Terroir du Trias Delille Vigneron Bandol Rosé 2017,"Bandol, France",4.1,189 ratings,Available online from $22
208,Aplá (Απλά) Dry Rosé 2019,"Drama, Greece",4.1,183 ratings,25.99
209,Sweet Pink N.V.,"Trentino, Italy",4.1,163 ratings,Available online from $10.40
210,Oeil de Perdrix Pinot Noir Blanc Rosé 2020,"Yorkville Highlands, United States",4.1,156 ratings,Available online from $18.89
211,M Minuty Limited Edition Rosé 2020,"Côtes de Provence, France",4.1,142 ratings,Available online from $26.95
212,Rosé 2019,"Vaucluse, France",4.1,140 ratings,Available online from $36.99
213,Terroir du Trias Delille Vigneron Bandol Rosé 2018,"Bandol, France",4.1,137 ratings,Available online from $29.98
214,Corail Côtes de Provence 2020,"Côtes de Provence, France",4.1,134 ratings,21.99
215,Cabernet Franc Rosé 2021,"Stellenbosch, South Africa",4.1,133 ratings,Available online from $18
216,Rosé 2018,"Clear Lake, United States",4.1,130 ratings,Available online from $28
217,Terroir du Trias Delille Vigneron Bandol Rosé 2019,"Bandol, France",4.1,127 ratings,Available online from $35
218,Classic Rosé 2020,"Coteaux d'Aix-en-Provence, France",4.1,127 ratings,Available online from $20.99
219,Arriviste 2018,"Napa Valley, United States",4.1,121 ratings,Available online from $34
220,Bandol Rosé 2017,"Bandol, France",4.1,121 ratings,Available online from $35
221,Sancerre Rosé (Chavignol) 2018,"Sancerre, France",4.1,121 ratings,Available online from $29.33
222,Côtes de Provence Rosé 2019,"Côtes de Provence, France",4.1,116 ratings,Available online from $17.99
223,Rosé 2018,"Vaucluse, France",4.1,106 ratings,Available online from $36.99
224,Rosado 2017,"Bierzo, Spain",4.1,105 ratings,Available online from $30.99
225,Nacha Pinot Noir Rosé 2020,"Patagonia, Argentina",4.1,101 ratings,Available online from $24
226,Bordeaux Rosé 2018,"Bordeaux, France",4.1,101 ratings,Available online from $16.99
227,Etna Rosato 2019,"Etna, Italy",4.1,95 ratings,Available online from $27.90
228,Léoube La-Londe Rosé 2020,"Côtes de Provence, France",4.1,92 ratings,59.99
229,Listán Rosado 2021,"Lanzarote, Spain",4.1,91 ratings,Available online from $19.99
230,Palette Rose 2017,"Palette, France",4.1,87 ratings,Available online from $125
231,Naturaleza Salvaje Clarete 2020,"Navarra, Spain",4.1,86 ratings,Available online from $33
232,Rosé 2019,"Sonoma Coast, United States",4.1,85 ratings,Available online from $17.09
233,Rosato 2020,"Mendocino County, United States",4.1,85 ratings,Available online from $32
234,Cellar Selection Syrah Rosé 2020,"Alentejo, Portugal",4.1,84 ratings,Available online from $16.09
235,Etna Rosato 2020,"Etna, Italy",4.1,83 ratings,25
236,Les Hauts du Luc Côtes de Provence Rosé 2020,"Provence, France",4.1,80 ratings,15.99
237,Côtes de Provence 2019,"Côtes de Provence, France",4.1,79 ratings,Available online from $27
238,Purple Rosé 2020,"Toscana, Italy",4.1,77 ratings,Available online from $18.99
239,Roc d'Aubaga Rosé 2016,"Priorat, Spain",4.1,75 ratings,Available online from $45
240,Rosé of Pinot Noir 2016,"Anderson Valley, United States",4.1,74 ratings,Available online from $62.99
241,Corse Figari Rosé 2016,"Corse Figari, France",4.1,74 ratings,Available online from $31.95
242,Sancerre Rosé (Chavignol) 2020,"Sancerre, France",4.1,73 ratings,Available online from $23.68
243,Classic Coteaux Varois en Provence Rosé 2018,"Coteaux Varois en Provence, France",4.1,69 ratings,Available online from $39.99
244,Bandol Rosé 2019,"Bandol, France",4.1,69 ratings,Available online from $25.95
245,Rosé de Pinot Noir 2017,"Bourgogne, France",4.1,68 ratings,Available online from $35
246,Moscato Rosé 2020,"Valencia, Spain",4.1,68 ratings,Available online from $16.99
247,Croac Croac Pink 2019,"Catalunya, Spain",4.1,67 ratings,Available online from $36
248,Rosé 2018,"Côtes de Provence, France",4.1,65 ratings,39.97
249,Sancerre Pinot Rosé 2017,"Sancerre, France",4.1,64 ratings,Available online from $71.99
250,Pícaro del Águila Clarete 2018,"Ribera del Duero, Spain",4.1,64 ratings,34.99
251,La Roséraie Rosé d'Anjou 2020,"Rosé d'Anjou, France",4.1,62 ratings,Available online from $9.99
252,Rosé de Pinot Noir 2018,"Bourgogne, France",4.1,61 ratings,Available online from $34.99
253,Vogelzang Vineyard Rosé 2019,"Happy Canyon of Santa Barbara, United States",4.1,60 ratings,Available online from $28
254,Tinetta 2020,"Piemonte, Italy",4.1,60 ratings,Available online from $14.99
255,Esprit Gassier 2020,"Côtes de Provence, France",4.1,59 ratings,Available online from $19.99
256,Rosa Vittoria 2017,"Vino d'Italia, Italy",4.1,59 ratings,17.99
257,Rosé de Famille 2019,"Paso Robles, United States",4.1,51 ratings,Available online from $47.99
258,Tu Rosato 2020,"Campania, Italy",4.1,50 ratings,Available online from $30
259,Cassis Rosé 2020,"Cassis, France",4.1,50 ratings,Available online from $35.92
260,En Valingrain Rosé des Riceys 2015,"Rosé des Riceys, France",4.1,49 ratings,Available online from $68
261,Rosa 2018,"Baja California, Mexico",4.1,48 ratings,Available online from $29.99
262,Cuvée Speciale des Vignettes Rosé 2018,"Provence, France",4.1,47 ratings,Available online from $38.99
263,Petra Rosé 2019,"Les Baux-de-Provence, France",4.1,46 ratings,Available online from $44.99
264,Chinon Rosé 2020,"Chinon, France",4.1,45 ratings,27.99
265,Luberon Rosé 2020,"Luberon, France",4.1,44 ratings,Available online from $13.95
266,Rosé 2019,"Judean Hills, Israel",4.1,44 ratings,44.99
267,Pinot Noir Rosé Trocken 2017,"Rheinhessen, Germany",4.1,43 ratings,Available online from $18
268,Bandol Rosé 2020,"Bandol, France",4.1,43 ratings,Available online from $29.99
269,Rosé 2019,"Pays d'Oc, France",4.1,42 ratings,19.99
270,Rosé 2020,"Napa Valley, United States",4.1,41 ratings,Available online from $20
271,Rosé of Pinot Noir 2020,"Santa Lucia Highlands, United States",4.1,41 ratings,Available online from $21.99
272,En Barmont Rosé des Riceys 2011,"Rosé des Riceys, France",4.1,39 ratings,Available online from $195
273,Rosé 2019,"Paso Robles, United States",4.1,39 ratings,27.99
274,Secret de Léoube Rosé 2020,"Côtes de Provence, France",4.1,38 ratings,39.99
275,Pinot Noir Rosé 2018,"Santa Barbara County, United States",4.1,37 ratings,Available online from $26
276,Grandioso Rosé 2020,"Long Island, United States",4.1,36 ratings,Available online from $33.60
277,Coeur de Rosé Réserve 2015,"Côtes de Provence, France",4.1,35 ratings,Available online from $58.99
278,Pinot Noir Rosé 2019,"Santa Barbara County, United States",4.1,35 ratings,Available online from $28
279,Côtes de Provence Rosé 2020,"Côtes de Provence, France",4.1,35 ratings,22.99
280,The Damsel Rosé 2017,"Napa Valley, United States",4.1,34 ratings,Available online from $66.99
281,Château de Berne Rosé 2020,"Côtes de Provence, France",4.1,33 ratings,Available online from $15.99
282,Etna Rosato 2020,"Etna, Italy",4.1,33 ratings,Available online from $29.99
283,Dry Rosé 2020,"Finger Lakes, United States",4.1,33 ratings,Available online from $12.99
284,Rosato di Toscano 2020,"Toscana, Italy",4.1,32 ratings,Available online from $10.49
285,Rosé 2017,"Dry Creek Valley, United States",4.1,31 ratings,Available online from $44.99
286,Chinon Rosé 2018,"Chinon, France",4.1,30 ratings,Available online from $79.99
287,La Reine des Bois Tavel Rosé 2020,"Tavel, France",4.1,29 ratings,Available online from $36.50
288,Rosé (Gaston Hochar) 2017,"Bekaa Valley, Lebanon",4.1,29 ratings,49.99
289,Mas de la Rouvière Rosé 2020,"Bandol, France",4.1,29 ratings,Available online from $24.99
290,Côtes de Provence Rosé 2018,"Côtes de Provence, France",4.1,29 ratings,Available online from $15.99
291,Bell Mountain Estate Rosé 2019,"Alexander Valley, United States",4.1,28 ratings,65
292,Rosé of Carignan 2020,"Mendocino County, United States",4.1,28 ratings,Available online from $19.99
293,Rosé d'Anjou 2020,"Rosé d'Anjou, France",4.1,27 ratings,Available online from $14.69
294,Pinot Noir Rosé 2021,"Casablanca Valley, Chile",4.1,26 ratings,13.29
295,Dinamo Nucleo 3 Rosato 2019,"Umbria, Italy",4.1,26 ratings,Available online from $29
296,Rosé 2020,"Willamette Valley, United States",4.1,26 ratings,Available online from $24.99
297,Anderson Valley Rosé of Pinot Noir 2019,"Anderson Valley, United States",4.1,25 ratings,25.99
298,La Louée Sancerre Rosé 2018,"Sancerre, France",4.1,25 ratings,Available online from $24.27
299,Jerusalem Mountain Vineyards Rosé 2020,"West Bank, Palestinian Territory, Occupied",4.1,25 ratings,Available online from $21.99
300,La Louée Sancerre Rosé 2018,"Sancerre, France",4.1,25 ratings,Available online from $24.27
301,Rosé N.V.,"South West France, France",4.0,11235 ratings,Available online from $9.99
302,Côte des Roses Rosé 2017,"Languedoc, France",4.0,6596 ratings,Available online from $17.29
303,M Rosé 2019,"Côtes de Provence, France",4.0,5481 ratings,Available online from $19.95
304,M Rosé 2018,"Côtes de Provence, France",4.0,5391 ratings,Available online from $19.75
